Carrier,Year,Quarter,Voluntary,Involuntary,Enplaned,Involuntary DB Per 10000 Passengers
EXPRESSJET AIRLINES,2019,3,1358,0,1433425,0.0
HAWAIIAN AIRLINES,2019,3,34,0,2828870,0.0
ENDEAVOR AIR,2019,3,6451,0,3850464,0.0
DELTA AIR LINES,2019,3,24642,3,40050497,0.0
UNITED AIR LINES,2019,3,9110,7,26963748,0.0
ALLEGIANT AIR,2019,3,135,2,3836145,0.01
JETBLUE AIRWAYS,2019,3,785,8,9760018,0.01
SPIRIT AIR LINES,2019,3,4656,64,8390933,0.08
SOUTHWEST AIRLINES,2019,3,4806,314,40777514,0.08
ALASKA AIRLINES,2019,3,2730,92,9563449,0.1
SKYWEST AIRLINES,2019,3,14794,203,10472196,0.19
MESA AIRLINES,2019,3,1861,88,3599017,0.24
FRONTIER AIRLINES,2019,3,893,230,5731264,0.4
REPUBLIC AIRWAYS,2019,3,5378,219,4900415,0.45
AMERICAN AIRLINES,2019,3,25733,1890,36283824,0.52
PSA AIRLINES,2019,3,3027,339,3810183,0.89
ENVOY AIR,2019,3,3286,561,3861879,1.45
ENDEAVOR AIR,2019,4,6772,0,3780820,0.0
DELTA AIR LINES,2019,4,26246,0,36796401,0.0
HAWAIIAN AIRLINES,2019,4,101,0,2674636,0.0
UNITED AIRLINES,2019,4,5668,13,25141731,0.01
ALLEGIANT AIR,2019,4,347,2,3613426,0.01
EXPRESSJET AIRLINES,2019,4,990,1,1467237,0.01
JETBLUE AIRWAYS,2019,4,637,16,9504092,0.02
SOUTHWEST AIRLINES,2019,4,4339,269,40839000,0.07
SKYWEST AIRLINES,2019,4,13524,116,10085483,0.12
ALASKA AIRLINES,2019,4,3147,108,8547197,0.13
SPIRIT AIR LINES,2019,4,5575,121,8276219,0.15
MESA AIRLINES,2019,4,1428,102,3528613,0.29
AMERICAN AIRLINES,2019,4,15503,1071,35416937,0.3
REPUBLIC AIRWAYS,2019,4,3532,120,3218312,0.37
FRONTIER AIRLINES,2019,4,821,249,5764965,0.43
PSA AIRLINES,2019,4,2683,459,3816412,1.2
ENVOY AIR,2019,4,2427,544,3703185,1.47
ENDEAVOR AIR,2019,4,6772,0,3780820,0.0
DELTA AIR LINES,2019,4,26246,0,36796401,0.0
HAWAIIAN AIRLINES,2019,4,101,0,2674636,0.0
UNITED AIRLINES,2019,4,5668,13,25141731,0.01
ALLEGIANT AIR,2019,4,347,2,3613426,0.01
EXPRESSJET AIRLINES,2019,4,990,1,1467237,0.01
JETBLUE AIRWAYS,2019,4,637,16,9504092,0.02
SOUTHWEST AIRLINES,2019,4,4339,269,40839000,0.07
SKYWEST AIRLINES,2019,4,13524,116,10085483,0.12
ALASKA AIRLINES,2019,4,3147,108,8547197,0.13
SPIRIT AIR LINES,2019,4,5575,121,8276219,0.15
MESA AIRLINES,2019,4,1428,102,3528613,0.29
AMERICAN AIRLINES,2019,4,15503,1071,35416937,0.3
REPUBLIC AIRWAYS,2019,4,3532,120,3218312,0.37
FRONTIER AIRLINES,2019,4,821,249,5764965,0.43
PSA AIRLINES,2019,4,2683,459,3816412,1.2
ENVOY AIR,2019,4,2427,544,3703185,1.47
ENDEAVOR AIR,2019,4,6772,0,3780820,0.0
DELTA AIR LINES,2019,4,26246,0,36796401,0.0
HAWAIIAN AIRLINES,2019,4,101,0,2674636,0.0
UNITED AIR LINES,2019,4,5668,13,25141731,0.01
ALLEGIANT AIR,2019,4,347,2,3613426,0.01
EXPRESSJET AIRLINES,2019,4,990,1,1467237,0.01
JETBLUE AIRWAYS,2019,4,637,16,9504092,0.02
