Carrier,Year,Month,Number of Bags Enplaned,Number of Bags Mishandled,Number of Bags Mishandled Per 1000 Enplaned
ALLEGIANT AIR,2019,11,475890,728,1.53
ENDEAVOR AIR,2019,11,856234,2855,3.33
SOUTHWEST AIRLINES,2019,11,9287654,33306,3.59
HAWAIIAN AIRLINES,2019,11,500011,1894,3.79
DELTA AIR LINES,2019,11,6102639,23162,3.8
FRONTIER AIRLINES,2019,11,832622,3382,4.06
ALASKA AIRLINES,2019,11,1604337,6521,4.06
SPIRIT AIRLINES,2019,11,991642,4323,4.36
EXPRESSJET AIRLINES,2019,11,347816,1532,4.4
SKYWEST AIRLINES,2019,11,2391568,10968,4.59
JETBLUE AIRWAYS,2019,11,991092,4894,4.94
UNITED AIRLINES,2019,11,3510129,18019,5.13
PSA AIRLINES,2019,11,1079091,5563,5.16
REPUBLIC AIRWAYS,2019,11,695350,3876,5.57
MESA AIRLINES,2019,11,797429,4654,5.84
AMERICAN AIRLINES,2019,11,5655521,40720,7.2
ENVOY AIR,2019,11,875410,6501,7.43
ALLEGIANT AIR,2019,12,629943,1162,1.84
FRONTIER AIRLINES,2019,12,991097,4380,4.42
HAWAIIAN AIRLINES,2019,12,557310,2524,4.53
SOUTHWEST AIRLINES,2019,12,11664319,56955,4.88
SPIRIT AIRLINES,2019,12,1210040,6080,5.02
JETBLUE AIRWAYS,2019,12,1518266,7877,5.19
ENDEAVOR AIR,2019,12,1063730,6261,5.89
DELTA AIR LINES,2019,12,7190969,43111,6.0
EXPRESSJET AIRLINES,2019,12,390148,2526,6.47
SKYWEST AIRLINES,2019,12,2855238,21211,7.43
UNITED AIRLINES,2019,12,4368055,33636,7.7
ALASKA AIRLINES,2019,12,1989178,15366,7.72
PSA AIRLINES,2019,12,1214665,9625,7.92
MESA AIRLINES,2019,12,894911,7338,8.2
REPUBLIC AIRWAYS,2019,12,900321,7474,8.3
AMERICAN AIRLINES,2019,12,6816098,60966,8.94
ENVOY AIR,2019,12,1006213,10015,9.95
ALLEGIANT AIR,2020,1,476380,805,1.69
SOUTHWEST AIRLINES,2020,1,9298434,36118,3.88
JETBLUE AIRWAYS,2020,1,1272589,5006,3.93
FRONTIER AIRLINES,2020,1,888555,3633,4.09
HAWAIIAN AIRLINES,2020,1,521495,2151,4.12
DELTA AIR LINES,2020,1,6213182,27557,4.44
